"","Echantillon","TMG","Ecart-type TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"187","B009",139,30.6026426821351,"1",2.5,6.75,5.25,6.5,2.5,7.5,4.5
"188","B010",161.25,25.3209828781002,"3",6.75,15.5,2.5,7.5,4.5,4.5,8.5
"189","B010",128.4,25.5147016443461,"3",3.75,4.875,8.625,5.25,6.75,3,4.5
"190","B011",178.695652173913,30.1608336974969,"2",8.5,5.75,3.75,12,27,9,9
"191","B011",150,31.7366884111173,"2",6,11.25,6.75,6,9,3.75,3.75
"192","B012",157.32,31.2499599999744,"1",4.5,2.5,3.5,13.5,4.5,7.5,4.5
"193","B012",129.96,32.0864457364788,"1",6.75,5.5,9.5,4.25,1.25,2.75,6.75
"194","B013",162.24,28.1813768293886,"3",6,3,5.5,6.5,7.5,7.5,13.5
"195","B015",171.75,26.7049091725294,"4",6.5,3.75,5.25,7.5,10.5,15.75,14.25
"196","B015",153.84,34.3094739102773,"4",5.84999999999999,1.5,2.40000000000001,6,3.5,17.5,10.5
"197","B016",158.16,20.7217277271949,"2",6.75,11.25,1.94999999999999,1.5,3.30000000000001,5.5,9.5
"198","B016",133.772727272727,33.6705775449099,"2",2.5,3.5,10.5,9.75,3.75,24,36
"199","B017",166.2,26.7768556779918,"4",20.25,3.75,4.75,2.5,2.5,4.5,19.5
"200","B017",161.086956521739,14.9024495957064,"4",9.25,2.75,3.75,3,4.5,4.5,9
"201","B018",163.125,23.5193028956143,"2",9,6,3.5,12.25,2.75,5.5,4.5
"202","B018",157,20.2827834467517,"2",5.25,1.875,4.125,5.5,2.5,3.25,21.75
"203","B019",150.130434782609,25.8462312143219,"4",3.5,8.5,10.5,2.5,9.5,5.25,15.75
"204","B019",150.36,28.0800641024909,"4",10.5,3.75,2.84999999999999,1.5,3.90000000000001,22.5,19.5
"205","B020",171.25,36.4742315233288,"2",9,6,6.5,5.5,7.5,7.5,13.5
"206","B020",172.04347826087,27.917863718854,"2",13.75,5.75,8.25,3.75,3.25,3.5,28.5
"207","B022",147.409090909091,25.7952728982677,"1",3,9,3,7.875,1.875,17.25,31.5
"208","B022",133.8,28.8010416478293,"1",2.5,7.125,1.875,7.5,6,6,25.5
"209","B023",163.68,20.9835649973973,"3",20.25,1.875,9.375,6.5,2.5,5.5,8
"210","B023",167.375,29.193228071205,"3",7.5,12.75,6.75,3.75,6.75,16.5,9
"211","B024",162.391304347826,25.0721488552805,"4",2.5,7.5,4.5,5.25,6.75,7.5,7.5
"212","B024",167.375,24.307473354291,"4",1.875,5.25,7.5,9.75,5.25,9.75,5.25
"213","B025",149.4,23.9217474278114,"2",6,3,3,2.625,1.875,4.5,4.5
"214","B025",141.24,27.7252592413489,"2",7.5,6.75,3.75,3.75,9.75,7.5,12
"215","B026",184.428571428571,34.3053515192184,"1",13.5,6.75,6.25,21.5,22.5,13.5,10.5
"216","B026",140.25,20.2974590061235,"1",3,6,7.5,8.25,6.75,10.5,31.5
"217","B027",164.75,23.6206431455347,"3",2.5,3.75,9,1.875,3.375,12.75,8.25
"218","B027",147.125,18.7554339951873,"3",6,9,7.5,1.25,1.25,8,11.5
"219","B028",166.285714285714,31.6577681732981,"1",5.25,4.5,3.5,5.5,13.5,28.5,42
"220","B028",164.590909090909,37.5647492951889,"1",5.25,19.5,10.5,18.75,20.25,12.75,5.25
"221","B029",170.4,25.9807621135332,"4",2.5,5.25,2.25,2.25,8.25,7.125,1.875
"222","B029",167.64,18.9602215176933,"4",1.875,8.25,4.5,6.75,3.75,3.75,6.75
"223","B030",157.736842105263,30.9405201875095,"2",13.5,13.5,4.5,10.5,13.5,22.5,10.5
"224","B030",162,35.4723232152296,"2",7.5,13.5,6,17.25,9.75,15,25.5
"225","B031",162.875,27.4167712874089,"1",13.5,7.5,6,3.75,9.75,2.5,8
"226","B031",136.92,24.6761017991092,"1",4.5,7.5,4.5,4.5,3.5,3.25,12.75
"227","B032",159.782608695652,27.602629192523,"2",8.25,7.5,4.5,10.5,4.5,11.25,12.75
"228","B032",163.25,19.1362392379985,"2",10.5,7.5,7.5,4.125,1.875,2.5,3.5
"229","B033",155.086956521739,26.2694309788501,"4",8.25,4.5,7.5,4.5,7.5,10.5,12
"230","B033",147.125,20.3562029858223,"4",5.625,9,10.5,4.5,2.5,3.5,7.5
"231","B034",163.68,33.2161105489489,"1",9.5,5.5,4.5,4.5,7.5,10.5,31.5
"232","B034",137.875,15.5376471275695,"1",1.95,1.5,1.8,3,4.5,8.25,13.75
"233","B035",160.826086956522,26.491254429808,"3",10.5,4.5,8.5,3.5,5.5,3.5,13.5
"234","B035",134.125,25.9503078644719,"3",3.75,6.5,2.5,7.5,4.5,7.5,25.5
"235","B036",169.32,26.4255558125084,"3",3.75,8.25,5.25,10.5,3,3.75,18.75
"236","B036",134.125,23.1278347263732,"3",9,3,2.5,3.5,6,5.25,3.75
"237","B037",168.428571428571,34.9765227382189,"4",6,5.25,5.25,16.5,10.5,19.5,31.5
"238","B037",159.136363636364,22.5352537668797,"4",3.75,8.25,11.25,9,7.5,3.75,3.75
"239","B038",161.142857142857,25.8617201946927,"4",9.75,8.25,8.25,5.25,5.25,5.25,24.75
"240","B038",147.571428571429,30.2035948664582,"4",10.5,7.5,4.5,6.75,11.25,37.5,7.5
"241","B039",163.8,27.2948809544168,"2",9.75,10.5,4.5,10.5,13.5,21.75,17.25
"242","B039",138,21.6333076527839,"2",4.34999999999999,1.5,3.90000000000001,4.5,10.5,19.5,7.5
"243","B040",166.125,22.3243140992058,"3",4.5,11.25,3.75,5.25,6.75,9.75,5.25
"244","B040",124.2,13.3603892158874,"3",3.75,4.5,3,2,2.5,5.25,3.75
"245","B041",165,29.9608440120275,"1",6.75,5.5,16.25,1.875,12.375,5.25,20.25
"246","B041",168.12,16.419805114556,"1",4.125,12.5,2.5,6.75,1.25,2.5,4.5
"247","B042",168.130434782609,28.2220164665592,"4",2.5,6.75,3.75,6.75,8.25,12,25.5
"248","B042",140.045454545455,19.9510765259786,"4",5.25,1.875,3.375,4.875,7.125,5.25,3.75
"249","B043",166.625,28.2255088142993,"2",6.75,4.5,3,5.25,3.75,3.75,6.75
"250","B043",165,26.3391343821318,"2",7.5,5.25,5.25,5.25,8.25,7.5,15
"251","B044",171,24.9919987195902,"4",5.25,6.75,12.25,12.5,4.5,13.5,13.5
"252","B044",165.25,23.4210050651305,"4",3.25,2.5,2.5,8.25,6.75,10.5,10.5
"253","B045",171,30.9838667696593,"2",1.5,2.69999999999999,4.5,10.5,9,12,15
"254","B045",139.090909090909,27.1905254698153,"2",3.75,12,3,11.25,6.25,6.5,16.5
"255","B046",156.521739130435,20.0360347311297,"3",6,1.875,3.375,8.25,14.25,3.75,9.75
"256","B046",138.142857142857,30.4684848889565,"3",5.25,6.75,3.75,3.75,9.75,7.5,58.5
"257","B047",179,32.811715829139,"2",12,5.25,8.25,18.75,9.25,8.75,14.25
"258","B047",149,35.2383190636952,"2",4.5,4.875,4.125,5.25,6.75,4.5,10.5
"259","B048",161.347826086957,20.9796626536102,"3",5.09999999999999,1.5,2.40000000000001,6,6,9,7.5
"260","B048",142.32,29.9008361087111,"3",8.25,1.875,6.375,7.5,7.5,7.5,10.5
"261","B049",155.875,26.0706606710702,"4",9.25,6.5,3,2.25,5.25,15.75,5.25
"262","B049",122.4,20.2175666191557,"4",4.5,3.75,6.75,3,4.5,3.75,3.75
"263","B050",169.434782608696,22.2829451435123,"2",10.5,6.75,5.25,2.5,2,3,7.5
"264","B050",143.318181818182,26.6715228262304,"2",18.75,3.75,3.75,6,7.5,17.25,15.75
"265","B051",150.652173913043,29.0150567427768,"2",4.75,3.5,7.5,7.5,10.5,31.5,8.5
"266","B052",174.521739130435,39.0382907194013,"4",10.5,12.75,3.75,9,31.5,13.5,4.5
"267","B052",151.090909090909,40.2230792443356,"4",7.5,2.5,3.5,4.5,10.5,52.5,21
"268","B053",153.125,18.7971147184649,"1",1.875,3,2.25,3,7.5,4.5,12
"269","B053",134.285714285714,29.5755690683085,"1",12.75,7.5,3.5,3.25,6.75,22.5,37.5
"270","B054",159.875,31.4079919211932,"3",4.5,3.5,2.5,6.5,2.5,7.5,10.5
"271","B054",137.75,29.8812868589662,"3",9.75,1.875,4.125,2.5,15.5,22.5,13.5
"272","B056",163.92,30.3958878797774,"1",19.5,4.875,2.625,8.625,1.875,13.5,15
"273","B056",141,23.1269786798264,"1",3.75,8.25,3.75,5.25,3.75,8.25,8.25
"274","B057",153.391304347826,28.8928099430145,"1",4.5,2.5,3.5,10.5,4.5,12.75,3.75
"275","B057",149.869565217391,30.1696782575819,"1",10.5,2.5,9.5,5.25,6.75,27.75,5.25
"276","B058",166,17.7566888805318,"3",3.75,5.25,3.25,6.5,10.5,6.75,8.25
"277","B058",152.75,31.5997385789957,"3",13.5,7.5,5.5,9.5,4.5,13.5,16.5
"278","B059",159.652173913043,23.9480663399558,"4",9.75,5.25,8.25,12,7.5,5.25,6.75
"279","B059",145.8,33.7194306001747,"4",3.5,3.25,2.75,4.75,11.25,19.5,16.5
"280","B060",163.08,30.7881470699358,"1",5.25,3.75,9.75,6,10.5,13.5,7.5
"281","B060",146.727272727273,34.1915915842614,"1",3.75,5.25,3.75,6.75,8.25,9,58.5
"282","B061",152,17.100724622328,"1",5.25,4.5,4.5,2.5,4.25,1.875,3.375
"283","B061",136.56,27.4151418015665,"1",3.25,2.75,6.75,3.75,3.75,10.5,4.5
"284","B062",157.95652173913,31.1455209983855,"1",5.25,6.75,5.25,10.5,4.5,7.5,19.5
"285","B062",146.375,35.4079486286195,"1",6.75,7.5,7.5,6.75,5.25,34.5,15.5
"286","B063",175.434782608696,41.7447068903314,"3",2.5,11.25,3.75,10.875,28.125,25.5,19.5
"287","B063",160.909090909091,22.6881741608541,"3",5.25,1.875,4.875,3.75,3.75,18.75,14.25
"288","B064",165.12,30.3291938567447,"2",5.5,2.75,3.75,2.625,1.875,16.5,13.5
"289","B064",138.652173913043,33.6500826632136,"2",3.5,5.5,7.5,2.5,7.5,6.5,34.5
"290","B065",168,30.4466746952767,"1",2.09999999999999,1.5,3.90000000000001,17.25,5.25,17.25,23.25
"291","B065",150,34.4673758792282,"1",7.5,7.5,7.5,18.75,6.25,3.5,34.5
"292","B066",158.04,30.6396801549885,"2",7.5,3.75,3,1.875,10.375,9.5,16.5
"293","B066",137.608695652174,26.5462531689927,"2",4.5,4.5,2.5,2.75,3.75,3.75,24.75
"294","B067",173.086956521739,30.2638593997982,"1",1.875,2.25,4.5,10.5,3.5,3.25,27.75
"295","B067",150.818181818182,25.4757332968648,"1",7.5,15.75,3.25,3.5,4.5,19.5,18
"296","B068",159.782608695652,25.9999239889433,"3",2.5,11.25,9.75,1.875,2.625,21,4.5
"297","B068",145.2,33.294143629173,"3",6.5,2.5,7.5,3.75,5.25,7.5,4.5
"298","B069",172.090909090909,32.1720214011952,"4",6.75,11,2.5,1.875,10.125,22.5,22.5
"299","B069",143.608695652174,22.3276003889902,"4",3.5,7.75,5.25,9.30000000000001,1.5,2.69999999999999,10.5
"300","B070",159.285714285714,13.9396659111431,"2",9,2.25,5.25,4.5,9,3.75,3.75
"301","B070",141.545454545455,24.1182153504008,"2",3.25,3.5,3.5,5.5,5.25,1.875,48.375
"302","B071",155.875,25.9050314065417,"3",11.5,2.75,3.75,3.75,3.75,14.25,3.75
"303","B071",136.92,24.1072603171742,"3",3.75,4.5,3,6.75,12.75,5.25,9.75
"304","B072",175.636363636364,41.4735089913061,"2",6.5,14.5,13.5,8.25,30.75,25.5,7.5
"305","B072",148.08,31.7357842190799,"2",7.5,5.25,12.75,4.5,10.5,5.25,26.25
"306","B073",144.24,26.20954024778,"1",1.875,5.25,4.5,1.875,1.875,6,13.5
"307","B073",147.875,34.3818866619443,"1",5.25,6.5,2.5,8.25,9.75,6.75,38.25
"308","B074",155.76,27.5624744897842,"2",5.5,14.5,2.5,2.5,2,12,13.5
"309","B074",128.76,31.1036975293935,"2",1.875,5.25,3.5,3.25,3.75,10.5,16.5
"310","B075",171.96,31.6747533534201,"1",13.5,11.25,4.34999999999999,1.5,3.90000000000001,5.25,15.75
"311","B075",161.28,27.0316481184555,"1",6,5.25,5.25,3.75,3.75,9,10.5
"312","B077",164.16,22.4252090291261,"3",2.5,4.5,4.5,10.5,10.5,6.75,5.25
"313","B077",157.08,20.7282416041496,"3",7.5,7.5,3.5,5.5,7.5,2.5,6.5
"314","B078",173.25,38.6851842216225,"1",13.5,10.5,13.5,7.5,3.5,17.5,10.5
"315","B078",153.136363636364,14.1161692312835,"1",4.125,4.5,6,6,6,6,4.5
"316","B079",163.8,31.7490157327751,"1",11.5,3.25,6.75,19.5,4.5,4.5,7.5
"317","B079",166.5,21.2684702338216,"1",7.5,8.25,3.75,2.5,10.5,3.5,10.5
"318","B080",165.521739130435,33.0328618268885,"4",16.5,4.875,4.125,6.75,5.25,15.75,14.25
"319","B080",165.625,24.7383042194119,"4",6.75,6.75,3.25,18.5,3.5,4.75,11.25
"320","B081",174.125,29.5197980728336,"4",2.84999999999999,1.5,6.90000000000001,13.5,13.5,12.75,8.25
"321","B081",147.84,35.6810874273753,"4",3.75,5.25,9.25,3.5,9,3.75,5.25
"322","B082",179,32.668293363816,"1",5.25,13.5,4.5,2.5,20,6.75,3.75
"323","B082",165,21.4941852602047,"1",3,6.75,23.25,4.80000000000001,1.5,1.69999999999999,2.5
"324","B083",165.125,27.9818458228219,"2",6,5.25,5.25,12.5,2.5,18.75,5.25
"325","B083",136.625,32.8988072996443,"2",7.5,6.75,5.25,3.75,3.75,21,10.5
"326","B084",165.24,24.2320036315613,"3",12,3.75,9.75,7.5,8.5,2.75,3.75
"327","B084",144.375,31.0676855745085,"3",3.75,7.875,1.875,7.5,5.25,18.5,2.5
"328","B085",157.68,24.6335137566689,"3",9.75,6.75,3.75,6,4.5,12.75,11.25
"329","B085",131.5,20.436540164936,"3",7.5,1.5,1.5,6.75,3.75,3.75,9.75
"330","B086",156,26.6786431439082,"1",3.75,3,7.5,7.5,10.5,13.5,9
"331","B086",165.36,20.8084117606318,"1",5.25,4.125,1.875,5.25,2.75,5.125,1.875
"332","B087",162.913043478261,20.4559683299571,"4",5.25,6,10.5,3.75,6.75,3.75,6.75
"333","B087",168.96,29.3775424431656,"4",3.75,16.5,4.5,2.5,20,9,7.5
"334","B088",169.875,40.1792857079366,"1",3.75,5.25,5.25,10.5,7.5,7.5,58.5
"335","B088",140.375,18.0429740631493,"1",6.75,3.90000000000001,1.5,2.84999999999999,7.5,1.875,9.375
"336","B089",156.5,20.244161799307,"4",3.5,3.25,8.75,8.5,6,3.75,3.75
"337","B089",162.260869565217,20.061762342835,"4",5.625,3.75,6.75,8.5,6.5,5.25,9.75
"338","B090",168.136363636364,31.890132007888,"3",10.5,2.5,6.5,10.5,10.5,16.5,28.5
"339","B090",139.375,32.7318652080813,"3",1.875,10.5,4.5,6.75,3.25,6.5,18
"340","B091",170.4,23.1732604525129,"3",12.75,2.5,2.5,5.5,7.5,13.5,4.5
"341","B091",161.64,19.9809909664161,"3",3.75,5.25,5.25,6.5,2.5,7.5,6
"342","B093",159.12,27.1589764166472,"2",9.75,5.25,9.75,7.5,4.5,22.5,6
"343","B093",137.347826086957,22.9001959016078,"2",4.5,7.5,6,5.25,5.25,3.5,2.5
"344","B094",153.875,25.8142402561067,"1",6,6,10.5,5.25,4.75,2.75,5.25
"345","B094",152.4,31.6543835826888,"1",3.75,5.25,3,1.875,3.375,34.5,18.5
"346","B095",162.428571428571,19.2160647078725,"4",14.5,2.75,6.25,3.5,7.5,6.75,8.25
"347","B095",133.227272727273,20.4867711513501,"4",6,5.25,5.25,2.5,3.5,6.75,6.75
"348","B096",172.2,27.9955353583388,"2",22.5,5.25,2.75,7.375,1.875,11.25,10.5
"349","B096",168.12,19.7954540235884,"2",4.5,2.5,3.5,6.75,5.25,7.5,6
"350","B097",145.25,16.2621192265685,"4",3.75,3.75,3.25,2.75,3.75,3.75,3.75
"351","B097",133.56,15.6872559741976,"4",6.75,8.25,4.5,1.875,2.375,4.75,5.25
"352","B098",141.72,28.4641880263604,"1",5.25,12.75,3.25,2.75,3.75,9,16.5
"353","B099",158.125,18.2478408490477,"4",4.5,5.25,2.75,5.5,6,8.625,1.875
"354","B099",130.571428571429,17.5857084832298,"4",1.875,3.75,3.75,12,4.5,8.5,9.5
"355","B100",153.125,22.2658102109002,"4",3.5,2.5,4.5,4.875,2.625,15,7.5
"356","B100",143.285714285714,25.8053150671385,"4",4.5,4.5,2.69999999999999,1.5,9.30000000000001,19.5,19.5
"357","B101",158.375,24.9587703501455,"4",14.5,3.5,4.5,1.875,10.125,19.5,4.5
"358","B101",160.44,17.6022725805505,"4",1.875,7.5,5.25,1.25,1.25,2.75,3.75
"359","B102",165.625,28.5836871993983,"3",5.5,3.5,7.5,4.5,9.5,7.5,2.5
"360","B102",147.136363636364,24.9881790234721,"3",1.5,7.575,1.875,8.25,3.5,14.5,19.5
"361","B103",163.2,34.5651558654087,"3",9.75,6.75,5.25,9.75,6.25,3.5,7.5
"362","B103",161.76,18.0191564730429,"3",6.75,3.75,4.75,3.5,7.5,6.75,3.25
"363","B104",162.24,28.2611040124055,"3",7.5,3.75,3,1.875,3.375,16.5,13.5
"364","B104",147.24,16.4981817179955,"3",4.5,5.25,5.25,5.25,3.75,6.75,5.75
"365","B105",173.28,40.7886013489063,"1",9.25,6.5,16.5,15.75,5.25,10.5,16.5
"366","B105",169.44,21.583326898326,"1",4.5,9.5,2.5,5.5,3.5,14.25,3.75
"367","B106",166.173913043478,26.7371926416318,"3",6,5.25,5.25,9.5,2.5,25.5,11.5
"368","B106",132,26.9927526505204,"3",10.5,1.875,4.125,3.375,1.875,3,12.75
"369","T001",159.6,15.8034806292791,"3",7.5,4.5,4.5,4.5,3,3.75,9.75
"370","T001",158.52,23.0056514795821,"3",5.25,4.5,3.5,5.5,4.5,2.5,6.5
"371","T002",147.72,26.071248531668,"1",3.5,3.25,5.25,3.75,3.75,4.5,7.5
"372","T002",126.272727272727,13.9153283696923,"1",1.25,1.25,3.25,4.125,1.875,4.5,10.5
"373","T003",137.28,19.1757659560185,"4",9.25,6.5,4.5,5.25,2.25,6,4.5
"374","T003",116.64,14.882540105775,"4",6,3,5.5,2.375,1.875,4.5,3.25
"375","T004",159.260869565217,24.5712644276423,"4",6.75,9,8.5,2.75,5.25,12.75,11.25
"376","T004",131.64,19.5637419733547,"4",3,6,6,7.875,1.875,3,2.75
